#{"t_start": 1678400390.856681, "env_id": "Toribash-DestroyUke-v1"}
r,l,t
4.020453,200,4.084265
-1.8,100,6.253018
-2.345592,100,8.435252
-2.8,100,10.501999
-0.321173,100,12.667276
-0.8,100,14.945242
-0.8,100,17.267093
-2.726631,100,19.345093
-1.8,100,21.559229
-0.423956,100,26.060317
0.13867,100,28.452481
2.030373,100,30.71399
-2.670618,100,32.888241
-3.318671,100,34.980144
-1.8,100,37.057143
-1.836805,100,39.261067
-2.650487,100,41.390431
-1.994929,100,43.586112
-3.046363,100,45.731434
-2.494094,100,50.201261
-4.122338,100,51.896271
0.134533,100,53.599333
-0.318467,100,55.223122
-0.84946,100,56.793033
-2.8,100,58.280621
-4.687189,100,59.888362
-0.8,100,61.550465
0.660323,100,63.083403
-0.552749,100,65.069141
-1.8,100,139.870517
-2.8,100,141.419739
-1.964876,100,143.042305
-0.8,100,144.920724
0.065029,100,147.136234
-3.653845,100,148.7784
-0.8,100,150.448493
4.070684,100,152.255208
-1.477284,100,153.919428
-0.194933,100,155.673303
-1.354977,100,159.944196
-0.8,100,161.674121
-0.760062,100,163.471367
-1.714691,100,165.068179
